Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	65219.754968750	65219.776093750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	65219.754968750	65219.776093750	1400.000	4000.000	1.0000
2	Waveform 1	1	65227.480218750	65227.502968750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	65227.480218750	65227.502968750	1400.000	4000.000	1.0000
3	Waveform 1	1	65291.365468750	65291.376843750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	65291.365468750	65291.376843750	1400.000	4000.000	1.0000
4	Waveform 1	1	65734.307968750	65734.317718750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	65734.307968750	65734.317718750	1400.000	4000.000	1.0000
5	Waveform 1	1	65889.895218750	65889.908218750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	65889.895218750	65889.908218750	1400.000	4000.000	1.0000
6	Waveform 1	1	65973.909343750	65973.919093750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	65973.909343750	65973.919093750	1400.000	4000.000	1.0000
7	Waveform 1	1	65976.384218750	65976.393968750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	65976.384218750	65976.393968750	1400.000	4000.000	1.0000
8	Waveform 1	1	66580.902093750	66580.911843750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	66580.902093750	66580.911843750	1400.000	4000.000	1.0000
9	Waveform 1	1	67201.907218750	67201.920218750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	67201.907218750	67201.920218750	1400.000	4000.000	1.0000
10	Waveform 1	1	67257.722718750	67257.737343750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	67257.722718750	67257.737343750	1400.000	4000.000	1.0000
11	Waveform 1	1	67262.207718750	67262.215843750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	67262.207718750	67262.215843750	1400.000	4000.000	1.0000
12	Waveform 1	1	67264.364093750	67264.378718750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	67264.364093750	67264.378718750	1400.000	4000.000	1.0000
13	Waveform 1	1	67267.116843750	67267.129843750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	67267.116843750	67267.129843750	1400.000	4000.000	1.0000
14	Waveform 1	1	67268.355093750	67268.366468750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	67268.355093750	67268.366468750	1400.000	4000.000	1.0000
15	Waveform 1	1	67269.078218750	67269.086343750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	67269.078218750	67269.086343750	1400.000	4000.000	1.0000
16	Waveform 1	1	67271.419843750	67271.429593750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	67271.419843750	67271.429593750	1400.000	4000.000	1.0000
17	Waveform 1	1	67577.852593750	67577.865593750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	67577.852593750	67577.865593750	1400.000	4000.000	1.0000
18	Waveform 1	1	67661.865093750	67661.879718750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	67661.865093750	67661.879718750	1400.000	4000.000	1.0000
19	Waveform 1	1	67995.420718750	67995.433718750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	67995.420718750	67995.433718750	1400.000	4000.000	1.0000
20	Waveform 1	1	67995.770093750	67995.781468750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	67995.770093750	67995.781468750	1400.000	4000.000	1.0000
21	Waveform 1	1	67996.203968750	67996.212093750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	67996.203968750	67996.212093750	1400.000	4000.000	1.0000
22	Waveform 1	1	67996.400593750	67996.415218750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	67996.400593750	67996.415218750	1400.000	4000.000	1.0000
23	Waveform 1	1	67996.670343750	67996.678468750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	67996.670343750	67996.678468750	1400.000	4000.000	1.0000
24	Waveform 1	1	68006.490218750	68006.501593750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	68006.490218750	68006.501593750	1400.000	4000.000	1.0000
25	Waveform 1	1	68010.913468750	68010.926468750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	68010.913468750	68010.926468750	1400.000	4000.000	1.0000
26	Waveform 1	1	68011.387968750	68011.402593750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	68011.387968750	68011.402593750	1400.000	4000.000	1.0000
27	Waveform 1	1	68012.543343750	68012.553093750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	68012.543343750	68012.553093750	1400.000	4000.000	1.0000
28	Waveform 1	1	68013.305468750	68013.321718750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	68013.305468750	68013.321718750	1400.000	4000.000	1.0000
29	Waveform 1	1	68015.924968750	68015.944468750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	68015.924968750	68015.944468750	1400.000	4000.000	1.0000
30	Waveform 1	1	68016.734218750	68016.742343750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	68016.734218750	68016.742343750	1400.000	4000.000	1.0000
31	Waveform 1	1	68017.135593750	68017.163218750	1400.000	4000.000	0.8235
31	Spectrogram 1	1	68017.135593750	68017.163218750	1400.000	4000.000	0.8235
32	Waveform 1	1	68017.512593750	68017.520718750	1400.000	4000.000	1.0000
32	Spectrogram 1	1	68017.512593750	68017.520718750	1400.000	4000.000	1.0000
33	Waveform 1	1	68019.672218750	68019.685218750	1400.000	4000.000	1.0000
33	Spectrogram 1	1	68019.672218750	68019.685218750	1400.000	4000.000	1.0000
34	Waveform 1	1	68020.622843750	68020.630968750	1400.000	4000.000	1.0000
34	Spectrogram 1	1	68020.622843750	68020.630968750	1400.000	4000.000	1.0000
35	Waveform 1	1	68023.422718750	68023.432468750	1400.000	4000.000	1.0000
35	Spectrogram 1	1	68023.422718750	68023.432468750	1400.000	4000.000	1.0000
36	Waveform 1	1	68027.012343750	68027.020468750	1400.000	4000.000	1.0000
36	Spectrogram 1	1	68027.012343750	68027.020468750	1400.000	4000.000	1.0000
37	Waveform 1	1	68029.979593750	68029.989343750	1400.000	4000.000	1.0000
37	Spectrogram 1	1	68029.979593750	68029.989343750	1400.000	4000.000	1.0000
38	Waveform 1	1	68031.963718750	68031.973468750	1400.000	4000.000	1.0000
38	Spectrogram 1	1	68031.963718750	68031.973468750	1400.000	4000.000	1.0000
39	Waveform 1	1	68033.450593750	68033.461968750	1400.000	4000.000	1.0000
39	Spectrogram 1	1	68033.450593750	68033.461968750	1400.000	4000.000	1.0000
40	Waveform 1	1	68224.483968750	68224.493718750	1400.000	4000.000	1.0000
40	Spectrogram 1	1	68224.483968750	68224.493718750	1400.000	4000.000	1.0000
41	Waveform 1	1	68249.960718750	68249.980218750	1400.000	4000.000	1.0000
41	Spectrogram 1	1	68249.960718750	68249.980218750	1400.000	4000.000	1.0000
42	Waveform 1	1	68264.678343750	68264.696218750	1400.000	4000.000	1.0000
42	Spectrogram 1	1	68264.678343750	68264.696218750	1400.000	4000.000	1.0000
43	Waveform 1	1	68269.174718750	68269.197468750	1400.000	4000.000	1.0000
43	Spectrogram 1	1	68269.174718750	68269.197468750	1400.000	4000.000	1.0000
44	Waveform 1	1	68304.788218750	68304.801218750	1400.000	4000.000	1.0000
44	Spectrogram 1	1	68304.788218750	68304.801218750	1400.000	4000.000	1.0000
45	Waveform 1	1	68305.348843750	68305.356968750	1400.000	4000.000	1.0000
45	Spectrogram 1	1	68305.348843750	68305.356968750	1400.000	4000.000	1.0000
46	Waveform 1	1	68308.038218750	68308.046343750	1400.000	4000.000	1.0000
46	Spectrogram 1	1	68308.038218750	68308.046343750	1400.000	4000.000	1.0000
47	Waveform 1	1	68613.310718750	68613.320468750	1400.000	4000.000	1.0000
47	Spectrogram 1	1	68613.310718750	68613.320468750	1400.000	4000.000	1.0000
48	Waveform 1	1	68712.801343750	68712.809468750	1400.000	4000.000	1.0000
48	Spectrogram 1	1	68712.801343750	68712.809468750	1400.000	4000.000	1.0000
49	Waveform 1	1	68716.683468750	68716.691593750	1400.000	4000.000	1.0000
49	Spectrogram 1	1	68716.683468750	68716.691593750	1400.000	4000.000	1.0000
50	Waveform 1	1	68723.170468750	68723.181843750	1400.000	4000.000	1.0000
50	Spectrogram 1	1	68723.170468750	68723.181843750	1400.000	4000.000	1.0000
51	Waveform 1	1	68723.241968750	68723.254968750	1400.000	4000.000	1.0000
