"","year","month","yday","length"
"1","2015-08-02","2015-08-02",214,1
"2","2015-08-04","2015-08-04",216,2
"3","2015-08-08","2015-08-08",220,2
"4","2015-08-11","2015-08-11",223,5
"5","2015-08-18","2015-08-18",230,2
"6","2015-08-21","2015-08-21",233,1
"7","2015-08-24","2015-08-24",236,3
"8","2015-08-28","2015-08-28",240,4
"9","2015-09-02","2015-09-02",245,22
"10","2015-09-26","2015-09-26",269,1
"11","2015-09-30","2015-09-30",273,1
"12","2015-10-07","2015-10-07",280,2
"13","2015-10-10","2015-10-10",283,3
"14","2015-10-15","2015-10-15",288,4
"15","2015-10-21","2015-10-21",294,1
"16","2015-10-24","2015-10-24",297,2
"17","2015-10-27","2015-10-27",300,1
"18","2015-10-29","2015-10-29",302,2
"19","2015-11-02","2015-11-02",306,6
"20","2015-11-09","2015-11-09",313,2
"21","2015-11-16","2015-11-16",320,4
"22","2015-11-21","2015-11-21",325,1
"23","2015-12-03","2015-12-03",337,1
"24","2015-12-15","2015-12-15",349,1
"25","2015-12-18","2015-12-18",352,9
"26","2016-01-01","2016-01-01",1,3
"27","2016-01-05","2016-01-05",5,3
"28","2016-01-09","2016-01-09",9,2
"29","2016-01-13","2016-01-13",13,5
"30","2016-01-23","2016-01-23",23,1
"31","2016-02-01","2016-02-01",32,1
"32","2016-02-03","2016-02-03",34,1
"33","2016-02-18","2016-02-18",49,1
"34","2016-03-05","2016-03-05",65,1
"35","2016-03-07","2016-03-07",67,2
"36","2016-03-11","2016-03-11",71,1
"37","2016-03-14","2016-03-14",74,3
"38","2016-03-18","2016-03-18",78,1
"39","2016-03-21","2016-03-21",81,2
"40","2016-03-25","2016-03-25",85,4
"41","2016-04-01","2016-04-01",92,1
"42","2016-04-04","2016-04-04",95,1
"43","2016-04-06","2016-04-06",97,1
"44","2016-04-14","2016-04-14",105,2
"45","2016-04-23","2016-04-23",114,4
"46","2016-04-28","2016-04-28",119,2
"47","2016-05-03","2016-05-03",124,1
"48","2016-05-06","2016-05-06",127,1
"49","2016-05-16","2016-05-16",137,1
"50","2016-05-19","2016-05-19",140,2
"51","2016-06-06","2016-06-06",158,1
"52","2016-06-09","2016-06-09",161,2
"53","2016-06-14","2016-06-14",166,1
"54","2016-06-18","2016-06-18",170,12
"55","2016-07-05","2016-07-05",187,3
"56","2016-07-11","2016-07-11",193,5
"57","2016-07-19","2016-07-19",201,3
"58","2016-07-23","2016-07-23",205,2
"59","2016-07-29","2016-07-29",211,3
"60","2016-08-08","2016-08-08",221,2
"61","2016-08-13","2016-08-13",226,2
"62","2016-08-19","2016-08-19",232,6
"63","2016-08-29","2016-08-29",242,2
"64","2016-09-01","2016-09-01",245,1
"65","2016-09-06","2016-09-06",250,1
"66","2016-09-16","2016-09-16",260,4
"67","2016-09-21","2016-09-21",265,3
"68","2016-09-25","2016-09-25",269,1
"69","2016-11-08","2016-11-08",313,1
"70","2016-11-10","2016-11-10",315,2
"71","2016-11-13","2016-11-13",318,1
"72","2016-11-19","2016-11-19",324,1
"73","2016-11-22","2016-11-22",327,1
"74","2016-11-26","2016-11-26",331,2
"75","2016-11-30","2016-11-30",335,3
"76","2016-12-05","2016-12-05",340,2
"77","2016-12-08","2016-12-08",343,8
"78","2016-12-17","2016-12-17",352,3
"79","2016-12-26","2016-12-26",361,1
"80","2016-12-30","2016-12-30",365,1
"81","2017-01-02","2017-01-02",2,7
"82","2017-01-11","2017-01-11",11,2
"83","2017-01-14","2017-01-14",14,1
"84","2017-01-19","2017-01-19",19,1
"85","2017-01-21","2017-01-21",21,2
"86","2017-01-28","2017-01-28",28,2
"87","2017-01-31","2017-01-31",31,10
"88","2017-02-11","2017-02-11",42,3
"89","2017-02-18","2017-02-18",49,1
"90","2017-02-20","2017-02-20",51,2
"91","2017-02-23","2017-02-23",54,1
"92","2017-03-02","2017-03-02",61,1
"93","2017-03-04","2017-03-04",63,4
"94","2017-03-10","2017-03-10",69,1
"95","2017-03-23","2017-03-23",82,2
"96","2017-03-26","2017-03-26",85,3
"97","2017-03-30","2017-03-30",89,2
"98","2017-04-02","2017-04-02",92,4
"99","2017-04-07","2017-04-07",97,1
"100","2017-04-10","2017-04-10",100,1
"101","2017-04-14","2017-04-14",104,2
"102","2017-04-21","2017-04-21",111,1
"103","2017-04-23","2017-04-23",113,1
"104","2017-04-27","2017-04-27",117,2
"105","2017-04-30","2017-04-30",120,8
"106","2017-05-09","2017-05-09",129,2
"107","2017-05-12","2017-05-12",132,6
"108","2017-05-19","2017-05-19",139,1
"109","2017-05-26","2017-05-26",146,1
"110","2017-05-29","2017-05-29",149,1
"111","2017-05-31","2017-05-31",151,9
"112","2017-06-10","2017-06-10",161,9
"113","2017-06-20","2017-06-20",171,1
"114","2017-06-23","2017-06-23",174,3
"115","2017-06-28","2017-06-28",179,6
"116","2017-07-06","2017-07-06",187,4
"117","2017-07-11","2017-07-11",192,9
"118","2017-07-21","2017-07-21",202,3
"119","2017-07-25","2017-07-25",206,1
"120","2017-07-27","2017-07-27",208,4
"121","2017-08-01","2017-08-01",213,3
"122","2017-08-05","2017-08-05",217,1
"123","2017-08-07","2017-08-07",219,1
"124","2017-08-09","2017-08-09",221,4
"125","2017-08-20","2017-08-20",232,1
"126","2017-08-25","2017-08-25",237,3
"127","2017-08-30","2017-08-30",242,4
"128","2017-09-05","2017-09-05",248,4
"129","2017-09-10","2017-09-10",253,4
"130","2017-09-15","2017-09-15",258,3
"131","2017-09-19","2017-09-19",262,1
"132","2017-09-23","2017-09-23",266,5
"133","2017-09-29","2017-09-29",272,16
"134","2017-10-18","2017-10-18",291,1
"135","2017-10-29","2017-10-29",302,2
"136","2017-11-03","2017-11-03",307,1
"137","2017-11-07","2017-11-07",311,2
"138","2017-11-16","2017-11-16",320,1
"139","2017-12-01","2017-12-01",335,1
"140","2017-12-04","2017-12-04",338,1
"141","2017-12-14","2017-12-14",348,1
"142","2017-12-16","2017-12-16",350,1
"143","2017-12-20","2017-12-20",354,2
"144","2017-12-31","2017-12-31",365,1
"145","2018-01-03","2018-01-03",3,4
"146","2018-01-13","2018-01-13",13,1
"147","2018-01-18","2018-01-18",18,2
"148","2018-01-28","2018-01-28",28,1
"149","2018-02-01","2018-02-01",32,1
"150","2018-02-05","2018-02-05",36,1
"151","2018-02-10","2018-02-10",41,1
"152","2018-02-18","2018-02-18",49,2
"153","2018-02-22","2018-02-22",53,2
"154","2018-03-01","2018-03-01",60,1
"155","2018-03-08","2018-03-08",67,2
"156","2018-03-16","2018-03-16",75,1
"157","2018-03-18","2018-03-18",77,1
"158","2018-03-21","2018-03-21",80,2
"159","2018-03-26","2018-03-26",85,1
"160","2018-03-29","2018-03-29",88,1
"161","2018-04-02","2018-04-02",92,2
"162","2018-04-14","2018-04-14",104,3
