"","date","yn","day","night","dd","month","year"
"1",2015-08-01,1,1,0,1,8,2015
"2",2015-08-02,0,0,0,0,8,2015
"3",2015-08-03,1,1,0,0,8,2015
"4",2015-08-04,0,0,0,0,8,2015
"5",2015-08-05,0,0,0,0,8,2015
"6",2015-08-06,1,1,0,0,8,2015
"7",2015-08-07,1,1,0,1,8,2015
"8",2015-08-08,0,0,0,0,8,2015
"9",2015-08-09,0,0,0,0,8,2015
"10",2015-08-10,1,1,0,0,8,2015
"11",2015-08-11,0,0,0,0,8,2015
"12",2015-08-12,0,0,0,0,8,2015
"13",2015-08-13,0,0,0,0,8,2015
"14",2015-08-14,0,0,0,0,8,2015
"15",2015-08-15,0,0,0,0,8,2015
"16",2015-08-17,1,1,0,0,8,2015
"17",2015-08-18,0,0,0,0,8,2015
"18",2015-08-19,0,0,0,0,8,2015
"19",2015-08-20,1,1,0,0,8,2015
"20",2015-08-21,0,0,0,0,8,2015
"21",2015-08-22,1,1,0,1,8,2015
"22",2015-08-23,1,1,0,1,8,2015
"23",2015-08-24,0,0,0,0,8,2015
"24",2015-08-25,0,0,0,0,8,2015
"25",2015-08-26,0,0,0,0,8,2015
"26",2015-08-27,1,1,0,1,8,2015
"27",2015-08-28,0,0,0,0,8,2015
"28",2015-08-29,0,0,0,0,8,2015
"29",2015-08-30,0,0,0,0,8,2015
"30",2015-08-31,0,0,0,0,8,2015
"31",2015-09-01,1,1,0,0,9,2015
"32",2015-09-02,0,0,0,0,9,2015
"33",2015-09-03,0,0,0,0,9,2015
"34",2015-09-04,0,0,0,0,9,2015
"35",2015-09-05,0,0,0,0,9,2015
"36",2015-09-06,0,0,0,0,9,2015
"37",2015-09-07,0,0,0,0,9,2015
"38",2015-09-08,0,0,0,0,9,2015
"39",2015-09-09,0,0,0,0,9,2015
"40",2015-09-10,0,0,0,0,9,2015
"41",2015-09-11,0,0,0,0,9,2015
"42",2015-09-12,0,0,0,0,9,2015
"43",2015-09-13,0,0,0,0,9,2015
"44",2015-09-14,0,0,0,0,9,2015
"45",2015-09-15,0,0,0,0,9,2015
"46",2015-09-16,0,0,0,0,9,2015
"47",2015-09-17,0,0,0,0,9,2015
"48",2015-09-18,0,0,0,0,9,2015
"49",2015-09-19,0,0,0,0,9,2015
"50",2015-09-20,0,0,0,0,9,2015
"51",2015-09-21,0,0,0,0,9,2015
"52",2015-09-22,0,0,0,0,9,2015
"53",2015-09-23,0,0,0,0,9,2015
"54",2015-09-24,1,1,0,0,9,2015
"55",2015-09-25,1,0,0,1,9,2015
"56",2015-09-26,0,0,0,0,9,2015
"57",2015-09-27,1,0,0,1,9,2015
"58",2015-09-28,1,1,0,0,9,2015
"59",2015-09-29,1,1,0,1,9,2015
"60",2015-09-30,0,0,0,0,9,2015
"61",2015-10-01,1,1,0,1,10,2015
"62",2015-10-02,1,1,0,0,10,2015
"63",2015-10-03,1,1,0,1,10,2015
"64",2015-10-04,1,1,0,1,10,2015
"65",2015-10-05,1,1,0,1,10,2015
"66",2015-10-06,1,1,0,1,10,2015
"67",2015-10-07,0,0,0,0,10,2015
"68",2015-10-08,0,0,0,0,10,2015
"69",2015-10-09,1,1,0,0,10,2015
"70",2015-10-10,0,0,0,0,10,2015
"71",2015-10-11,0,0,0,0,10,2015
"72",2015-10-12,0,0,0,0,10,2015
"73",2015-10-13,1,1,0,0,10,2015
"74",2015-10-14,1,1,0,0,10,2015
"75",2015-10-15,0,0,0,0,10,2015
"76",2015-10-16,0,0,0,0,10,2015
"77",2015-10-17,0,0,0,0,10,2015
"78",2015-10-19,0,0,0,0,10,2015
"79",2015-10-20,1,1,0,0,10,2015
"80",2015-10-21,0,0,0,0,10,2015
"81",2015-10-22,1,1,0,0,10,2015
"82",2015-10-23,1,1,0,1,10,2015
"83",2015-10-24,0,0,0,0,10,2015
"84",2015-10-25,0,0,0,0,10,2015
"85",2015-10-26,1,1,0,1,10,2015
"86",2015-10-27,0,0,0,0,10,2015
"87",2015-10-28,1,0,0,1,10,2015
"88",2015-10-29,0,0,0,0,10,2015
"89",2015-10-30,0,0,0,0,10,2015
"90",2015-10-31,1,1,0,0,10,2015
"91",2015-11-01,1,1,0,1,11,2015
"92",2015-11-02,0,0,0,0,11,2015
"93",2015-11-03,0,0,0,0,11,2015
"94",2015-11-04,0,0,0,0,11,2015
"95",2015-11-05,0,0,0,0,11,2015
"96",2015-11-06,0,0,0,0,11,2015
"97",2015-11-07,0,0,0,0,11,2015
"98",2015-11-08,1,1,0,0,11,2015
"99",2015-11-09,0,0,0,0,11,2015
