"","year","month","yday","length"
"1",2015,8,213,1
"2",2015,8,215,1
"3",2015,8,218,2
"4",2015,8,222,1
"5",2015,8,229,1
"6",2015,8,232,1
"7",2015,8,234,2
"8",2015,8,239,1
"9",2015,9,244,1
"10",2015,9,267,2
"11",2015,9,270,3
"12",2015,10,274,6
"13",2015,10,282,1
"14",2015,10,286,2
"15",2015,10,293,1
"16",2015,10,295,2
"17",2015,10,299,1
"18",2015,10,301,1
"19",2015,10,304,2
"20",2015,11,312,1
"21",2015,11,315,4
"22",2015,11,324,1
"23",2015,11,326,11
"24",2015,12,338,11
"25",2015,12,350,2
"26",2015,12,361,5
"27",2016,1,4,1
"28",2016,1,8,1
"29",2016,1,11,2
"30",2016,1,18,3
"31",2016,1,24,8
"32",2016,2,33,1
"33",2016,2,40,8
"34",2016,2,50,15
"35",2016,3,66,1
"36",2016,3,69,2
"37",2016,3,72,2
"38",2016,3,77,1
"39",2016,3,79,2
"40",2016,3,83,2
"41",2016,3,89,3
"42",2016,4,93,2
"43",2016,4,96,1
"44",2016,4,98,7
"45",2016,4,107,7
"46",2016,4,118,1
"47",2016,4,121,3
"48",2016,5,125,2
"49",2016,5,128,9
"50",2016,5,138,2
"51",2016,5,142,14
"52",2016,6,160,1
"53",2016,6,163,3
"54",2016,6,167,3
"55",2016,6,182,5
"56",2016,7,190,3
"57",2016,7,198,3
"58",2016,7,204,1
"59",2016,7,207,4
"60",2016,8,214,7
"61",2016,8,223,3
"62",2016,8,228,4
"63",2016,8,240,2
"64",2016,8,244,1
"65",2016,9,246,3
"66",2016,9,251,9
"67",2016,9,264,1
"68",2016,9,268,1
"69",2016,9,270,38
"70",2016,11,314,1
"71",2016,11,317,1
"72",2016,11,319,5
"73",2016,11,325,2
"74",2016,11,328,3
"75",2016,11,333,2
"76",2016,12,338,2
"77",2016,12,342,1
"78",2016,12,351,1
"79",2016,12,355,6
"80",2016,12,362,3
"81",2016,12,366,2
"82",2017,1,9,2
"83",2017,1,13,1
"84",2017,1,15,4
"85",2017,1,20,1
"86",2017,1,23,4
"87",2017,1,30,1
"88",2017,2,41,1
"89",2017,2,45,4
"90",2017,2,50,1
"91",2017,2,53,1
"92",2017,2,55,6
"93",2017,3,62,1
"94",2017,3,67,2
"95",2017,3,70,12
"96",2017,3,84,1
"97",2017,3,88,1
"98",2017,4,91,1
"99",2017,4,96,1
"100",2017,4,98,2
"101",2017,4,101,3
"102",2017,4,106,5
"103",2017,4,112,1
"104",2017,4,114,3
"105",2017,4,119,1
"106",2017,5,128,1
"107",2017,5,131,1
"108",2017,5,138,1
"109",2017,5,140,6
"110",2017,5,147,2
"111",2017,5,150,1
"112",2017,6,160,1
"113",2017,6,170,1
"114",2017,6,172,2
"115",2017,6,177,2
"116",2017,7,185,2
"117",2017,7,191,1
"118",2017,7,201,1
"119",2017,7,205,1
"120",2017,7,207,1
"121",2017,7,212,1
"122",2017,8,216,1
"123",2017,8,218,1
"124",2017,8,220,1
"125",2017,8,225,7
"126",2017,8,233,4
"127",2017,8,240,2
"128",2017,9,246,2
"129",2017,9,252,1
"130",2017,9,257,1
"131",2017,9,261,1
"132",2017,9,263,3
"133",2017,9,271,1
"134",2017,10,288,3
"135",2017,10,292,10
"136",2017,10,304,3
"137",2017,11,308,3
"138",2017,11,313,7
"139",2017,11,321,14
"140",2017,12,336,2
"141",2017,12,339,9
"142",2017,12,349,1
"143",2017,12,351,3
"144",2017,12,356,9
"145",2018,1,1,2
"146",2018,1,7,6
"147",2018,1,14,4
"148",2018,1,23,5
"149",2018,1,29,3
"150",2018,2,33,3
"151",2018,2,37,4
"152",2018,2,42,7
"153",2018,2,51,2
"154",2018,2,55,5
"155",2018,3,61,6
"156",2018,3,73,2
"157",2018,3,76,1
"158",2018,3,78,2
"159",2018,3,82,3
"160",2018,3,86,2
"161",2018,3,89,3
"162",2018,4,94,10
"163",2018,4,107,2
"164",2018,4,110,2
"165",2018,4,113,6
"166",2018,5,122,1
"167",2018,5,124,2
"168",2018,5,132,6
"169",2018,5,143,5
"170",2018,6,166,1
"171",2018,6,169,1
"172",2018,6,175,4
"173",2018,6,180,1
"174",2018,7,182,1
"175",2018,7,184,1
"176",2018,7,186,2
"177",2018,7,194,4
"178",2018,7,202,2
"179",2018,8,215,1
"180",2018,8,218,1
"181",2018,8,223,3
"182",2018,8,230,1
"183",2018,8,232,4
"184",2018,8,237,2
"185",2018,8,240,3
"186",2018,9,247,2
"187",2018,9,252,1
"188",2018,9,260,2
"189",2018,9,265,1
"190",2018,9,268,3
"191",2018,10,281,4
"192",2018,10,287,2
"193",2018,10,301,1
"194",2018,10,304,2
"195",2018,11,307,1
"196",2018,11,311,1
"197",2018,11,313,2
"198",2018,11,317,2
"199",2018,11,320,4
"200",2018,11,326,7
"201",2018,11,334,2
"202",2018,12,337,8
"203",2018,12,351,4
"204",2018,12,357,1
"205",2018,12,361,1
"206",2018,12,364,1
"207",2019,1,2,3
"208",2019,1,18,3
"209",2019,1,23,2
"210",2019,1,27,8
"211",2019,2,38,6
"212",2019,2,53,4
"213",2019,2,59,3
"214",2019,3,70,1
"215",2019,3,73,1
"216",2019,3,75,19
"217",2019,4,106,1
"218",2019,4,109,1
"219",2019,4,113,9
"220",2019,5,124,9
"221",2019,5,135,1
"222",2019,5,138,4
"223",2019,5,143,2
"224",2019,5,147,1
"225",2019,5,149,3
"226",2019,6,153,3
"227",2019,6,161,6
"228",2019,6,168,2
"229",2019,6,171,3
"230",2019,7,183,1
"231",2019,7,186,1
"232",2019,7,188,1
"233",2019,7,190,1
"234",2019,7,198,1
"235",2019,7,206,8
"236",2019,8,215,4
"237",2019,8,225,1
"238",2019,8,227,2
"239",2019,8,231,2
"240",2019,8,242,2
"241",2019,9,251,1
"242",2019,9,254,1
"243",2019,9,259,2
"244",2019,9,263,1
"245",2019,9,266,1
"246",2019,9,269,1
"247",2019,10,274,2
"248",2019,10,277,1
"249",2019,10,279,2
"250",2019,10,287,1
"251",2019,10,290,1
"252",2019,10,292,1
"253",2019,10,297,2
"254",2019,10,301,4
"255",2019,11,306,2
"256",2019,11,309,1
"257",2019,11,311,1
"258",2019,11,314,1
"259",2019,11,316,2
"260",2019,11,326,2
"261",2019,11,330,1
"262",2019,12,337,3
"263",2019,12,342,2
"264",2019,12,346,3
"265",2019,12,350,2
"266",2019,12,353,3
"267",2019,12,357,4
"268",2019,12,362,1
"269",2020,1,3,2
"270",2020,1,7,2
"271",2020,1,11,1
"272",2020,1,14,9
"273",2020,1,24,1
"274",2020,1,26,1
"275",2020,1,28,1
"276",2020,1,30,2
"277",2020,2,35,2
"278",2020,2,38,1
"279",2020,2,42,5
"280",2020,2,49,2
"281",2020,2,52,3
"282",2020,2,56,2
"283",2020,2,59,2
"284",2020,3,62,3
"285",2020,3,69,3
"286",2020,3,73,2
"287",2020,3,76,2
"288",2020,3,79,4
"289",2020,3,86,1
"290",2020,3,88,2
"291",2020,4,93,1
"292",2020,4,95,1
"293",2020,4,97,3
"294",2020,4,104,2
"295",2020,4,108,3
"296",2020,4,116,1
"297",2020,5,123,1
"298",2020,5,130,6
"299",2020,5,138,2
"300",2020,5,146,3
"301",2020,5,150,1
"302",2020,5,152,2
"303",2020,6,156,2
"304",2020,6,170,2
"305",2020,6,173,4
"306",2020,6,178,2
"307",2020,6,182,1
"308",2020,7,185,1
"309",2020,7,190,1
"310",2020,7,198,2
"311",2020,7,201,2
"312",2020,7,207,1
"313",2020,7,209,1
"314",2020,7,212,3
"315",2020,8,224,1
"316",2020,8,237,1
"317",2020,9,245,4
"318",2020,9,255,5
"319",2020,9,268,2
"320",2020,10,275,1
"321",2020,10,284,1
"322",2020,10,289,1
"323",2020,10,291,3
"324",2020,10,295,1
"325",2020,10,298,5
"326",2020,10,305,2
"327",2020,11,308,3
"328",2020,11,314,1
"329",2020,11,320,1
"330",2020,11,323,3
"331",2020,12,337,4
"332",2020,12,344,2
"333",2020,12,347,3
"334",2020,12,353,3
"335",2020,12,360,2
"336",2020,12,364,2
"337",2021,1,1,1
"338",2021,1,4,14
"339",2021,1,20,3
"340",2021,1,24,2
"341",2021,1,29,4
"342",2021,2,34,4
"343",2021,2,39,2
"344",2021,2,42,1
"345",2021,2,44,1
"346",2021,2,56,2
"347",2021,3,64,2
"348",2021,3,69,2
"349",2021,3,79,2
"350",2021,3,89,6
"351",2021,4,96,1
"352",2021,4,98,3
"353",2021,4,102,2
"354",2021,4,105,1
"355",2021,4,111,2
"356",2021,4,114,3
"357",2021,4,118,2
"358",2021,5,128,1
"359",2021,5,130,2
"360",2021,5,134,1
"361",2021,5,136,2
"362",2021,5,142,3
"363",2021,6,152,1
"364",2021,6,161,3
"365",2021,6,170,3
"366",2021,6,174,1
"367",2021,7,195,2
"368",2021,7,199,1
"369",2021,8,213,2
"370",2021,8,222,1
"371",2021,8,233,1
"372",2021,8,235,1
"373",2021,8,238,1
"374",2021,8,241,4
"375",2021,9,246,3
"376",2021,9,250,1
"377",2021,9,260,2
"378",2021,10,286,1
"379",2021,10,291,1
"380",2021,10,294,3
"381",2021,10,301,10
"382",2021,11,314,4
"383",2021,11,320,4
"384",2021,11,325,6
"385",2021,11,334,4
"386",2021,12,339,2
"387",2021,12,342,3
"388",2021,12,348,1
"389",2021,12,351,2
"390",2021,12,355,1
"391",2021,12,358,7
"392",2022,1,1,1
"393",2022,1,3,6
"394",2022,1,11,4
"395",2022,1,16,1
"396",2022,1,18,2
"397",2022,1,22,3
"398",2022,1,26,4
"399",2022,2,39,1
"400",2022,2,41,1
"401",2022,2,43,2
"402",2022,2,48,4
"403",2022,2,57,2
"404",2022,3,60,2
"405",2022,3,67,1
"406",2022,3,72,1
"407",2022,3,74,2
"408",2022,3,79,1
"409",2022,3,87,1
"410",2022,4,92,2
"411",2022,4,96,2
"412",2022,4,101,1
"413",2022,4,105,1
"414",2022,4,108,1
"415",2022,4,112,2
"416",2022,4,115,1
"417",2022,5,124,2
"418",2022,5,129,1
"419",2022,5,146,3
"420",2022,6,159,1
"421",2022,6,163,1
"422",2022,6,173,5
