"","year","month","yday","length"
"1","2015-08-04","2015-08-04",216,0
"2","2015-08-06","2015-08-06",218,2
"3","2015-08-10","2015-08-10",222,1
"4","2015-08-17","2015-08-17",229,1
"5","2015-08-20","2015-08-20",232,4
"6","2015-08-27","2015-08-27",239,1
"7","2015-09-01","2015-09-01",244,1
"8","2015-09-24","2015-09-24",267,13
"9","2015-10-09","2015-10-09",282,1
"10","2015-10-13","2015-10-13",286,2
"11","2015-10-20","2015-10-20",293,4
"12","2015-10-26","2015-10-26",299,3
"13","2015-10-31","2015-10-31",304,2
"14","2015-11-08","2015-11-08",312,1
"15","2015-11-11","2015-11-11",315,4
"16","2015-11-20","2015-11-20",324,28
"17","2015-12-27","2015-12-27",361,5
"18","2016-01-04","2016-01-04",4,1
"19","2016-01-08","2016-01-08",8,1
"20","2016-01-11","2016-01-11",11,2
"21","2016-01-18","2016-01-18",18,41
"22","2016-03-09","2016-03-09",69,5
"23","2016-03-17","2016-03-17",77,4
"24","2016-03-23","2016-03-23",83,2
"25","2016-03-29","2016-03-29",89,16
"26","2016-04-16","2016-04-16",107,7
"27","2016-04-27","2016-04-27",118,1
"28","2016-04-30","2016-04-30",121,19
"29","2016-05-21","2016-05-21",142,16
"30","2016-06-11","2016-06-11",163,7
"31","2016-06-30","2016-06-30",182,5
"32","2016-07-08","2016-07-08",190,3
"33","2016-07-16","2016-07-16",198,3
"34","2016-07-22","2016-07-22",204,1
"35","2016-07-25","2016-07-25",207,4
"36","2016-08-01","2016-08-01",214,7
"37","2016-08-10","2016-08-10",223,3
"38","2016-08-15","2016-08-15",228,4
"39","2016-08-27","2016-08-27",240,2
"40","2016-08-31","2016-08-31",244,15
"41","2016-09-20","2016-09-20",264,1
"42","2016-09-24","2016-09-24",268,42
"43","2016-11-12","2016-11-12",317,14
"44","2016-11-28","2016-11-28",333,2
"45","2016-12-03","2016-12-03",338,2
"46","2016-12-07","2016-12-07",342,1
"47","2016-12-16","2016-12-16",351,1
"48","2016-12-20","2016-12-20",355,13
"49","2017-01-09","2017-01-09",9,2
"50","2017-01-13","2017-01-13",13,8
"51","2017-01-23","2017-01-23",23,4
"52","2017-01-30","2017-01-30",30,1
